#,Industry,Company Name,Approx. Employees,Focus Keywords,Mission / Bio
  AEROSPACE & DEFENSE,,,,,
20,Construction & Engineering,Burns & McDonnell,"14,000","Power, oil & gas, aviation, mission-critical facilities","Burns & McDonnell is a 100% employee-owned firm delivering full-service engineering, architecture, and construction solutions."
21,Construction & Engineering,DPR Construction,"11,000","Technical construction, healthcare, life sciences, data centers","DPR Construction is a forward-thinking general contractor specializing in complex, high-tech building projects nationwide."
22,Construction & Engineering,GHD,"11,000","Water, environment, transportation, energy infrastructure","GHD is a global professional services firm offering engineering and environmental solutions for water, energy, and infrastructure."
23,Construction & Engineering,Gilbane Building Company,"3,500","Construction management, education, healthcare, public work",Gilbane is a family-owned construction and real estate services firm delivering projects across multiple sectors since 1873.
24,Construction & Engineering,Granite Construction,"5,800","Roads, bridges, dams, heavy civil construction","Granite Construction builds America's critical infrastructure, including transportation, water, and power projects."
25,Construction & Engineering,Hensel Phelps,"8,000","General contracting, design-build, federal, aviation",Hensel Phelps is an employee-owned general contractor recognized for delivering landmark construction projects across the U.S.
26,Construction & Engineering,Kiewit,"29,000","Heavy civil, power, industrial, mining construction","Kiewit is one of North America's largest construction and engineering organizations, employee-owned and known for complex infrastructure."
27,Construction & Engineering,McCarthy Building Companies,"7,400","Healthcare, education, commercial, renewable energy builds",McCarthy Building Companies is a privately held national commercial construction firm with expertise in complex facilities.
28,Construction & Engineering,Michigan Department of Transportation,"3,000","State roads, bridges, transit, aviation, rail","MDOT plans, builds, and maintains a safe and efficient statewide transportation network for Michigan residents and businesses."
29,Construction & Engineering,Mortenson,"5,800","Sports venues, renewable energy, healthcare, design-build",Mortenson is a family-owned construction company known for landmark sports and entertainment venues and clean energy projects.
30,Construction & Engineering,Ramboll,"16,000","Buildings, transport, energy, environment, management consulting","Ramboll is a global engineering, architecture, and consultancy firm dedicated to creating sustainable societies."
31,Construction & Engineering,Skanska,"32,000","Green buildings, civil construction, public-private partnerships",Skanska is a global construction and development company committed to sustainable construction practices.
32,Construction & Engineering,Swinerton,"4,500","Commercial construction, renewable energy, federal projects",Swinerton is an employee-owned general contractor delivering commercial and renewable energy construction across the nation.
33,Construction & Engineering,"Terracon Consultants, Inc.","6,000","Geotechnical, environmental, materials testing, facilities",Terracon provides engineering and environmental consulting services to support safe and sustainable construction nationwide.
34,Construction & Engineering,Texas Department of Transportation,"12,000","State highways, bridges, aviation, rail, public transit","TxDOT plans, designs, builds, operates, and maintains the state highway system while advancing multimodal transportation."
35,Construction & Engineering,The Whiting-Turner Contracting Company,"5,000","Commercial, healthcare, data centers, government construction",Whiting-Turner is an employee-owned general contractor delivering complex construction projects with a focus on quality and safety.
36,Construction & Engineering,"Trimble, Inc.","11,000","GPS/positioning, construction tech, surveying, agriculture tech","Trimble provides technology solutions that transform how the world works, with a focus on construction, agriculture, and geospatial."
37,Construction & Engineering,Turner Construction,"10,000","Large-scale commercial, healthcare, data centers, sports","Turner Construction is a leading construction services company known for delivering iconic, large-scale projects globally."
38,Construction & Engineering,"WSP USA, Inc.","75,000","Infrastructure, environment, energy, transportation planning","WSP is a global professional services firm that helps clients plan, design, and build sustainable infrastructure."
39,Construction & Engineering,Walter P. Moore,900,"Structural engineering, parking, forensics, diagnostics","Walter P. Moore is a structural and civil engineering firm known for innovative, award-winning design solutions."
40,Construction & Engineering,Jacobs,"60,000","Engineering, program management, infrastructure, environmental, defense","Jacobs is a global technology and solutions provider delivering outcomes for governments and commercial clients through consulting, engineering, and scientific expertise."
  CONSULTING & PROFESSIONAL SERVICES,,,,,
41,Consulting & Professional Services,Accenture,"700,000","Digital transformation, cloud, AI, strategy, managed services","Accenture is a global professional services company offering strategy, consulting, technology, and operations services across industries."
42,Consulting & Professional Services,Casualty Actuarial Society,"9,000 members","Actuarial science, risk analysis, insurance, catastrophe modeling",The CAS is a professional organization advancing the knowledge of actuarial science applied to casualty and property insurance.
43,Consulting & Professional Services,Deloitte,"415,000","Audit, tax, consulting, financial advisory, risk","Deloitte is one of the world's largest professional services networks, providing audit, consulting, tax, and advisory solutions."
44,Consulting & Professional Services,Ernst & Young LLP,"395,000","Assurance, tax, strategy, transactions, technology consulting","EY is a global professional services organization helping businesses navigate complexity, build trust, and achieve sustainable growth."
45,Consulting & Professional Services,Fish & Richardson P.C.,"1,200","Patent litigation, IP strategy, trademark, trade secrets","Fish & Richardson is a leading global IP law firm that protects innovation through patent prosecution, litigation, and licensing."
46,Consulting & Professional Services,NCEES,200,"Engineering licensure, exam development, credentialing",NCEES develops and administers the exams used for engineering and surveying licensure throughout the United States.
  ENERGY & UTILITIES,,,,,
47,Energy & Utilities,ConocoPhillips,"10,000","Oil & gas exploration, LNG, shale, emissions reduction",ConocoPhillips is an independent E&P company responsibly developing the world's oil and natural gas resources.
48,Energy & Utilities,Constellation Energy,"13,000","Nuclear power, clean energy, carbon-free electricity",Constellation Energy is the nation's largest producer of carbon-free energy and a leading retail supplier of power and gas.
49,Energy & Utilities,Freeport-McMoRan Inc,"26,000","Copper mining, gold, molybdenum, mining operations","Freeport-McMoRan is a leading international mining company with world-class assets in copper, gold, and molybdenum."
50,Energy & Utilities,Linde,"65,000","Industrial gases, hydrogen, carbon capture, process engineering",Linde is a global industrial gases and engineering company committed to improving lives and making the world more productive.
51,Energy & Utilities,Los Angeles Department of Water and Power,"11,000","Municipal utilities, water distribution, electric grid, solar","LADWP is the nation's largest municipal utility, providing reliable water and power services to the City of Los Angeles."
52,Energy & Utilities,New York Independent System Operator,700,"Electric grid management, energy markets, reliability, dispatch","NYISO manages New York's wholesale electricity markets and the bulk electric grid, ensuring reliable and efficient power delivery."
53,Energy & Utilities,Pacific Gas and Electric Company,"26,000","Electric and gas utility, grid modernization, wildfire safety",PG&E delivers safe and reliable energy to millions of Northern and Central California customers while leading the clean energy transition.
54,Energy & Utilities,Southern Company,"29,000","Electric utilities, natural gas, nuclear, clean energy R&D",Southern Company is a leading energy company providing electric and natural gas service while advancing clean energy solutions.
55,Energy & Utilities,"Southwire Company, Inc.","8,000","Wire and cable manufacturing, power infrastructure, metals","Southwire is one of North America's leading wire and cable manufacturers, providing solutions for utility, industrial, and construction use."
56,Energy & Utilities,"Trane Technologies, Inc.","38,000","HVAC, climate control, sustainability, refrigeration, building efficiency",Trane Technologies is a global climate innovator creating efficient and sustainable HVAC systems for buildings and homes.
  FINANCIAL SERVICES,,,,,
57,Financial Services,BNY Mellon,"52,000","Asset servicing, custody, treasury, investment management","BNY Mellon is the world's largest custodian bank, providing investment services and solutions to institutional clients worldwide."
58,Financial Services,"Capital One, Inc.","55,000","Credit cards, consumer banking, auto loans, digital banking",Capital One is a technology-forward financial services company that disrupts traditional banking with data-driven products.
59,Financial Services,Goldman Sachs,"44,000","Investment banking, asset management, securities, consumer banking","Goldman Sachs is a leading global investment banking and financial services firm connecting capital, people, and ideas."
60,Financial Services,USAA,"37,000","Insurance, banking, investments for military families","USAA provides insurance, banking, and financial services exclusively to the U.S. military community and their families."
61,Financial Services,Wells Fargo,"238,000","Retail banking, commercial banking, mortgage, wealth management","Wells Fargo is a diversified financial services company that provides banking, investment, mortgage, and consumer finance products."
62,Financial Services,FM Global,"6,000","Commercial property insurance, risk engineering, loss prevention, resilience",FM Global is a leading commercial property insurer that partners with clients to reduce risk and protect assets through engineering-driven risk management.
  HEALTHCARE & PHARMACEUTICALS,,,,,
63,Healthcare & Pharmaceuticals,Abbott,"115,000","Diagnostics, medical devices, nutrition, branded generics","Abbott discovers, develops, and delivers breakthrough medical technologies to help people live healthier, fuller lives."
64,Healthcare & Pharmaceuticals,AstraZeneca Pharmaceuticals LP,"83,000","Oncology, cardiovascular, respiratory, rare diseases",AstraZeneca is a global biopharmaceutical company focused on the discovery and development of prescription medicines.
65,Healthcare & Pharmaceuticals,Bristol-Myers Squibb,"34,000","Oncology, immunology, cardiovascular, cell therapy",Bristol-Myers Squibb is a global biopharmaceutical company dedicated to discovering and developing transformative medicines.
66,Healthcare & Pharmaceuticals,"Cook Medical Holdings, Inc.","10,000","Minimally invasive devices, vascular, endoscopy, urology",Cook Medical develops minimally invasive medical devices that help physicians and patients face challenging clinical situations.
67,Healthcare & Pharmaceuticals,"Edwards Lifesciences, LLC","17,000","Heart valves, hemodynamic monitoring, transcatheter technology",Edwards Lifesciences is a global leader in patient-focused innovations for structural heart disease and critical care monitoring.
68,Healthcare & Pharmaceuticals,Johnson & Johnson Family of Companies,"131,000","MedTech, pharmaceuticals, consumer health, surgical robotics","Johnson & Johnson is the world's largest healthcare company, with a mission to transform individual lives and fundamentally change the trajectory of health."
69,Healthcare & Pharmaceuticals,"Merck & Co., Inc.","69,000","Oncology, vaccines, infectious disease, animal health",Merck is a leading biopharmaceutical company that invents life-saving medicines and vaccines for the world's most challenging diseases.
70,Healthcare & Pharmaceuticals,"Pfizer, Inc.","83,000","Vaccines, oncology, rare disease, mRNA technology",Pfizer applies science and global resources to bring therapies and vaccines to people that extend and significantly improve their lives.
71,Healthcare & Pharmaceuticals,Regeneron Pharmaceuticals,"12,000","Antibody therapies, ophthalmology, oncology, rare diseases","Regeneron is a leading biopharmaceutical company that discovers, invents, and commercializes transformative medicines for serious diseases."
  MANUFACTURING & INDUSTRIAL,,,,,
72,Manufacturing & Industrial,"ABB, Inc","105,000","Robotics, automation, electrification, power grids, motion","ABB is a technology leader in electrification and automation, enabling a more sustainable and resource-efficient future."
73,Manufacturing & Industrial,Arconic,"14,000","Aerospace aluminum, rolled products, extrusions, auto lightweighting","Arconic engineers and manufactures specialty aluminum products and structures used in aerospace, automotive, and industrial applications."
74,Manufacturing & Industrial,Caterpillar Inc.,"109,000","Construction equipment, mining machinery, engines, turbines","Caterpillar is the world's leading manufacturer of construction and mining equipment, and a provider of industrial gas turbines."
75,Manufacturing & Industrial,"Cummins, Inc.","73,000","Diesel engines, hydrogen power, filtration, electrification","Cummins designs, manufactures, and distributes engines, filtration, and power generation products, advancing a net-zero future."
76,Manufacturing & Industrial,"Dodge Industrial, Inc.","2,000","Bearings, couplings, power transmission, belt drives",Dodge Industrial manufactures power transmission products including mounted bearings and mechanical power transmission components.
77,Manufacturing & Industrial,Duracell,"3,500","Batteries, power solutions, alkaline, lithium, rechargeables","Duracell is the world's leading manufacturer of high-performance alkaline batteries, trusted by consumers and professionals."
78,Manufacturing & Industrial,Eaton Corporation,"85,000","Power management, electrical, hydraulics, vehicle components","Eaton is a power management company providing energy-efficient solutions for electrical, hydraulic, and mechanical power."
79,Manufacturing & Industrial,GE Vernova,"80,000","Wind turbines, gas turbines, grid solutions, electrification",GE Vernova is an energy technology company helping to decarbonize the world through advanced power and grid solutions.
80,Manufacturing & Industrial,Honeywell,"97,000","Automation, aerospace components, safety, building tech","Honeywell is a Fortune 100 technology company delivering industry-specific solutions in aerospace, building technologies, and safety."
81,Manufacturing & Industrial,Jabil Inc.,"260,000","Electronics manufacturing, supply chain, 3D printing, EMS","Jabil is a global manufacturing services company that creates intelligent, connected, and sustainable products for the world's top brands."
82,Manufacturing & Industrial,John Deere,"82,000","Agricultural machinery, construction equipment, precision ag, forestry","John Deere manufactures iconic agricultural, construction, and forestry equipment, enabling smarter and more sustainable operations."
83,Manufacturing & Industrial,KLA,"15,000","Semiconductor process control, inspection, metrology equipment",KLA develops advanced process control and yield management solutions critical to semiconductor and electronics manufacturing.
84,Manufacturing & Industrial,Lam Research Corporation,"18,000","Semiconductor etch, deposition equipment, wafer fabrication",Lam Research designs and manufactures semiconductor processing equipment used to make chips for every major application.
85,Manufacturing & Industrial,Nucor Corporation,"30,000","Steel manufacturing, recycled steel, structural, automotive","Nucor is North America's largest steel producer, using electric arc furnaces and recycled scrap to build a more sustainable future."
86,Manufacturing & Industrial,Rockwell Automation,"29,000","Industrial automation, PLCs, robotics, smart manufacturing",Rockwell Automation is the world's largest company dedicated to industrial automation and information technology.
87,Manufacturing & Industrial,Schneider Electric,"150,000","Energy management, industrial automation, EV charging, data centers","Schneider Electric is the global leader in energy management and automation, delivering solutions for homes, buildings, data centers, and industries."
88,Manufacturing & Industrial,"Siemens, Inc.","320,000","Electrification, automation, digitalization, healthcare imaging","Siemens is a global technology company focused on industry, infrastructure, transport, and healthcare, driving the digital transformation."
89,Manufacturing & Industrial,Smurfit Westrock,"100,000","Paper and packaging, corrugated boxes, recycled materials",Smurfit Westrock is a global sustainable packaging company committed to responsible paper and packaging solutions.
90,Manufacturing & Industrial,TE Connectivity,"89,000","Connectors, sensors, data and energy solutions, harsh environments",TE Connectivity designs and manufactures connectivity and sensor solutions that are essential in harsh environments.
91,Manufacturing & Industrial,Wabtec Corporation,"27,000","Rail equipment, locomotives, digital solutions, freight systems","Wabtec creates innovative, life-changing products and services that move and improve the world's freight and transit industries."
  OTHER / NON-PROFIT / GOVERNMENT,,,,,
92,Other / Non-Profit / Government,Air Products,"21,000","Industrial gases, hydrogen energy, LNG equipment",Air Products is a world-leading industrial gases company supplying atmospheric and process gases to industries globally.
93,Other / Non-Profit / Government,Arconic (duplicate check),"14,000","Aluminum products, aerospace grade, lightweighting",Arconic manufactures innovative aluminum products used in critical aerospace and industrial applications.
94,Other / Non-Profit / Government,Break Through Tech,N/A,"Tech education, diversity in STEM, university partnerships",Break Through Tech is an initiative that opens doors for women and underrepresented students in computing and tech careers.
95,Other / Non-Profit / Government,DAAD (German Academic Exchange Service),"1,200","International scholarships, academic exchange, global research",DAAD is the world's largest funding organization for the international exchange of students and researchers.
96,Other / Non-Profit / Government,ICPD – Scientist Mentoring & Diversity Program,N/A,"STEM mentoring, diversity, biomedical research pipeline",ICPD connects underrepresented students and scientists with mentors to advance diversity in the life sciences and STEM fields.
97,Other / Non-Profit / Government,PBF Energy,"3,500","Oil refining, petroleum products, gasoline, jet fuel","PBF Energy is one of the largest independent petroleum refiners, supplying transportation fuels and heating oils across the U.S."
98,Other / Non-Profit / Government,SMART Scholarship For Service Program,N/A,"STEM scholarships, DoD civilian employment, service obligation",The SMART Scholarship supports outstanding STEM students in exchange for civilian employment with the U.S. Department of Defense.
99,Other / Non-Profit / Government,Sinclair Skinner Household,N/A,"Community sponsor, personal network",Individual or family sponsor providing support and connection to students at the NSBE 2026 convention.
100,Other / Non-Profit / Government,Universal Destinations & Experiences,"40,000","Theme parks, entertainment, resort, hospitality, guest experience",Universal Destinations & Experiences creates immersive theme park worlds based on beloved entertainment properties globally.
  TECHNOLOGY & ELECTRONICS,,,,,
100,Technology & Electronics,"Cadence Design Systems, Inc.","11,000","EDA software, chip design, PCB layout, AI-driven design",Cadence delivers computational software tools and hardware that enable the design of next-generation semiconductor and electronic systems.
101,Technology & Electronics,Dell Technologies,"120,000","PCs, servers, storage, cloud infrastructure, cybersecurity","Dell Technologies helps organizations build their digital future and transform how they work, live, and play with comprehensive IT solutions."
102,Technology & Electronics,ESRI (Esri),"4,000","GIS mapping, spatial analytics, geospatial software, urban planning","Esri is the global leader in geographic information system software, location intelligence, and mapping technology."
103,Technology & Electronics,Fonteva,250,"Association management software, Salesforce-native, membership",Fonteva provides cloud-based association management software built natively on Salesforce to help organizations grow and engage members.
104,Technology & Electronics,Givelify,200,"Mobile giving, donations platform, nonprofit technology, fintech","Givelify is the world's most downloaded mobile giving app, enabling faith communities and nonprofits to accept instant donations."
105,Technology & Electronics,Lenovo,"62,000","PCs, smartphones, servers, AR/VR, cloud, AI hardware",Lenovo is a global technology company that develops intelligent devices and infrastructure enabling people everywhere to be smarter.
106,Technology & Electronics,Marvell Technology,"6,500","Data infrastructure semiconductors, cloud, 5G, automotive chips","Marvell develops cloud-optimized silicon solutions accelerating 5G connectivity, cloud infrastructure, and automotive applications."
107,Technology & Electronics,"Microsoft, Inc.","220,000","Cloud computing, AI, productivity software, gaming, cybersecurity","Microsoft empowers every person and organization on the planet to achieve more through innovative software, cloud, and AI solutions."
108,Technology & Electronics,NVIDIA,"36,000","GPUs, AI computing, data center, autonomous vehicles, robotics","NVIDIA is the AI computing company, pioneering accelerated computing that powers AI, gaming, robotics, and scientific discovery."
109,Technology & Electronics,"Nintendo of America, Inc.","6,000","Gaming consoles, video games, franchises, entertainment",Nintendo of America brings beloved gaming experiences and entertainment to consumers across North America and the world.
110,Technology & Electronics,Texas Instruments,"30,000","Analog chips, embedded processors, power management, MCUs",Texas Instruments designs and manufactures semiconductors and integrated circuits that power innovation across industries worldwide.
111,Technology & Electronics,Apple,"164,000","Consumer electronics, iPhone, Mac, software, cloud services, AI","Apple designs and develops innovative consumer technology products including the iPhone, Mac, iPad, and Apple Watch, along with software and services ecosystems."
  TRANSPORTATION & LOGISTICS,,,,,
112,Transportation & Logistics,Dauch Corporation,800,"Automotive driveline, forged aluminum, precision parts",Dauch Corporation manufactures high-precision driveline and structural components for the automotive and truck industries.
113,Transportation & Logistics,"Delta Air Lines, Inc","100,000","Commercial aviation, cargo, loyalty, MRO, international routes",Delta Air Lines is a major American airline focused on delivering a premium customer experience through safety and innovation.
114,Transportation & Logistics,Ford Motor Company,"177,000","Automobiles, EVs, trucks, connected vehicles, mobility",Ford Motor Company designs and manufactures iconic vehicles and is accelerating its transformation into an electric vehicle leader.
115,Transportation & Logistics,General Motors,"163,000","Automobiles, EVs, autonomous vehicles, Cruise, OnStar","General Motors is transforming itself into an all-electric, zero-emission future while continuing to deliver world-class vehicles."
116,Transportation & Logistics,Toyota,"366,000","Hybrid vehicles, hydrogen fuel cells, manufacturing excellence","Toyota is the world's leading automaker and pioneer of hybrid technology, committed to mobility for all and a carbon-neutral future."
117,Transportation & Logistics,United Parcel Service (UPS),"500,000","Package delivery, supply chain, logistics, e-commerce fulfillment","UPS is the world's largest package delivery company, providing supply chain management and logistics solutions globally."
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
